Срубка свай,шт,28,1
Срубка свай,шт,9,2
Срубка свай,шт,9,3
Срубка свай,шт,9,4
Срубка свай,шт,21,5
Срубка свай,шт,23,6
Срубка свай,шт,33,7
Срубка свай,шт,21,8
Срубка свай,шт,29,9
Срубка свай,шт,22,10
Срубка свай,шт,22,11
Срубка свай,шт,13,12
Срубка свай,шт,21,13
Срубка свай,шт,13,14
Срубка свай,шт,13,15
Срубка свай,шт,6,16
Срубка свай,шт,36,17
Срубка свай,шт,48,18
Срубка свай,шт,45,19
Срубка свай,шт,14,20
Срубка свай,шт,7,21
Срубка свай,шт,24,22
Срубка свай,шт,23,23
Срубка свай,шт,23,24
Срубка свай,шт,17,25
Срубка свай,шт,14,26
Ручная доработка грунта,м3,"19,04",27
Ручная доработка грунта,м3,"1,18",28
Засыпка щебнем (перекоп),м3,"0,71",28
Ручная доработка грунта,м3,"1,9",29
Засыпка щебнем (перекоп),м4,"6,04",29
Ручная доработка грунта,м3,"7,08",30
Ручная доработка грунта,м3,"4,6",31
Засыпка щебнем (перекоп),м3,"4,14",31
Ручная доработка грунта,м3,"8,88",32
Засыпка щебнем (перекоп),м3,"4,12",32
Ручная доработка грунта,м3,"0,97",33
Засыпка щебнем (перекоп),м3,"3,09",33
Ручная доработка грунта,м3,"1,47",34
Засыпка щебнем (перекоп),м3,"1,89",34
Ручная доработка грунта,м3,"0,17",35
Засыпка щебнем (перекоп),м3,"3,54",35
Ручная доработка грунта,м3,"1,39",36
Ручная доработка грунта,м3,"0,53",37
Засыпка щебнем (перекоп),м3,"29,06",37
Устройство щебеночного основания,м3,"6,46",38
Устройство щебеночного основания,м3,"2,18",39
Устройство бетонного основания,м3,"0,54",40
Устройство бетонного основания,м3,"1,49",41
Устройство бетонного основания,м3,"6,6",42
Устройство бетонного основания,м3,"3,89",43
Устройство бетонного основания,м3,"6,99",44
Устройство бетонного основания,м3,5,45
Устройство бетонного основания,м3,"8,04",46
Устройство бетонного основания,м3,"2,47",47
Устройство бетонного основания,м3,"0,58",48
Устройство бетонного основания,м3,"4,3",49
Устройство щебеночного основания,м3,"1,07",50
Устройство щебеночного основания,м3,"10,87",51
Бетонирование,м3,"30,78",52
Срубка свай,шт,21,53
Срубка свай,шт,33,54
Срубка свай,шт,39,55
Срубка свай,шт,23,56
Срубка свай,шт,30,57
Срубка свай,шт,25,58
Срубка свай,шт,31,59
Срубка свай,шт,30,60
Срубка свай,шт,32,61
Срубка свай,шт,17,62
Срубка свай,шт,18,63
Срубка свай,шт,33,64
Срубка свай,шт,30,65
Срубка свай,шт,30,66
Срубка свай,шт,17,67
Срубка свай,шт,33,68
Срубка свай,шт,13,69
Срубка свай,шт,13,70
Срубка свай,шт,13,71
Срубка свай,шт,17,72
Срубка свай,шт,13,73
Срубка свай,шт,13,74
Срубка свай,шт,14,75
Срубка свай,шт,13,76
Срубка свай,шт,13,77
Срубка свай,шт,16,78
Срубка свай,шт,20,79
Срубка свай,шт,9,80
Срубка свай,шт,14,81
Срубка свай,шт,38,82
Срубка свай,шт,45,83
Срубка свай,шт,17,84
Срубка свай,шт,14,85
Срубка свай,шт,33,86
Срубка свай,шт,14,87
Срубка свай,шт,14,88
Срубка свай,шт,10,89
Срубка свай,шт,18,90
Срубка свай,шт,18,91
Срубка свай,шт,13,92


Бетонирование,м3,"15,07",95




Бетонирование,м3,"17,28",100


Бетонирование,м3,"20,80",103
Срубка свай,шт,41,104
